Heterogeneity statistic,Data Type,Effect Measure,Distribution form,Type of Intervention,Nature of Outcome,Medical area,Average Sample Size,Mean,SD,Median,2.5% Quantile,97.5% Quantile,Notes,Reference
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,Adverse events,Any,Any,-1.87,1.52,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,Infection/onset of new disease,Any,Any,-2.49,1.52,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,Signs/symptoms reflecting continuation/end of condition,Any,Any,-2.06,1.51,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,Pain,Any,Any,-1.83,1.52,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,Quality of life/functioning,Any,Any,-2.54,1.54,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,Mental health indicators,Any,Any,-2.12,1.53,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,Biological markers (dichotomised),Any,Any,-1.77,1.52,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs placebo/control,Subjective,Any,Any,-2.7,1.52,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,All-cause mortality,Any,Any,-4.18,1.41,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,Obstetric,Any,Any,-3.75,1.79,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,Cause-specific mortality/major morbidity event/composite,Any,Any,-3.95,1.79,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,Resource use/hospital stay/process,Any,Any,-2.58,1.79,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,Surgical/device related success/failure,Any,Any,-2.37,1.79,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,Withdrawals/drop outs,Any,Any,-3.32,1.79,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,Internal/external structure related outcomes,Any,Any,-2.94,1.79,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,General physical health indicators,Any,Any,-2.53,1.58,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,Adverse events,Any,Any,-2.1,1.58,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,Infection/onset of new disease,Any,Any,-2.73,1.58,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,Signs/symptoms reflecting continuation/end of condition,Any,Any,-2.29,1.58,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,Pain,Any,Any,-2.06,1.58,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,Quality of life/functioning,Any,Any,-2.78,1.6,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,Mental health indicators,Any,Any,-2.35,1.6,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,Biological markers (dichotomised),Any,Any,-2,1.58,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Pharmacological vs pharmacological,Subjective,Any,Any,-2.93,1.58,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs placebo/control,All-cause mortality,Any,Any,-4.17,1.55,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs placebo/control,Obstetric,Any,Any,-3.74,1.91,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs placebo/control,Cause-specific mortality/major morbidity event/composite,Any,Any,-3.93,1.91,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs placebo/control,Resource use/hospital stay/process,Any,Any,-2.56,1.91,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs placebo/control,Surgical/device related success/failure,Any,Any,-2.36,1.91,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs placebo/control,Withdrawals/drop outs,Any,Any,-3.21,1.91,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs placebo/control,Internal/external structure related outcomes,Any,Any,-2.93,1.92,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs placebo/control,General physical health indicators,Any,Any,-2.51,1.72,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs placebo/control,Adverse events,Any,Any,-2.1,1.71,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs placebo/control,Infection/onset of new disease,Any,Any,-2.71,1.71,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs placebo/control,Signs/symptoms reflecting continuation/end of condition,Any,Any,-2.28,1.71,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs placebo/control,Pain,Any,Any,-2.05,1.71,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs placebo/control,Quality of life/functioning,Any,Any,-2.77,1.73,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
Tau-squared,Binary,Log odds ratio,Log normal,Non-pharmacological vs placebo/control,Mental health indicators,Any,Any,-2.34,1.72,None,None,None,"Fitted distribution reported as log-normal(u,o^2), where u and o are the Mean and SD presented on log scale. ","Turner, Rebecca M., Dan Jackson, Yinghui Wei, Simon G. Thompson, and Julian PT Higgins. ""Predictive distributions for between-study heterogeneity and simple methods for their application in Bayesian meta-analysis."" Statistics in Medicine 34, no. 6 (2015): 984-998."
